Species,Lower Energy (MeV),Upper Energy (MeV),Delta E (MeV),Geometry Factor (cm2 sr),Efficiency,b
H,1.8,2.2,0.4,0.136584,1,0
H,2.2,2.7,0.5,0.1376568,1,0
H,2.7,3.2,0.5,0.1379136,1,0
H,3.2,3.6,0.4,0.1379864,1,0
H,3.6,4,0.4,0.138384,1,0
H,4,4.5,0.5,0.1382672,1,0
H,4.5,5,0.5,0.1386696,1,0
H,5,6,1,0.1388304,1,0
H,6,8,2,0.1387504,1,0
H,8,10,2,0.1127616,1,0
H,10,12,2,0.0440536,1,0
H,12,15,3,0.0080144,1,0
He3,2.2,2.7,0.5,0.1365328,1,0
He3,2.7,3.2,0.5,0.1380856,1,0
He3,3.2,3.6,0.4,0.1382648,1,0
He3,3.6,4,0.4,0.138412,1,0
He3,4,4.5,0.5,0.13828,1,0
He3,4.5,5,0.5,0.1384112,1,0
He3,5,6,1,0.1386416,1,0
He3,6,8,2,0.1392688,1,0
He3,8,10,2,0.1399864,1,0
He3,10,12,2,0.1408096,1,0
He3,12,15,3,0.1411328,1,0
He4,1.8,2.2,0.4,0.1378976,1,0
He4,2.2,2.7,0.5,0.1382288,1,0
He4,2.7,3.2,0.5,0.1384736,1,0
He4,3.2,3.6,0.4,0.1381376,1,0
He4,3.6,4,0.4,0.1384728,1,0
He4,4,4.5,0.5,0.1388864,1,0
He4,4.5,5,0.5,0.1387632,1,0
He4,5,6,1,0.1390288,1,0
He4,6,8,2,0.1395312,1,0
He4,8,10,2,0.1403072,1,0
He4,10,12,2,0.1410032,1,0
He4,12,15,3,0.1414104,1,0
He,2.2,2.7,0.5,0.1382112,1,0
He,2.7,3.2,0.5,0.1384688,1,0
He,3.2,3.6,0.4,0.13814,1,0
He,3.6,4,0.4,0.138472,1,0
He,4,4.5,0.5,0.13888,1,0
He,4.5,5,0.5,0.1387592,1,0
He,5,6,1,0.1390264,1,0
He,6,8,2,0.1395296,1,0
He,8,10,2,0.1403032,1,0
He,10,12,2,0.141,1,0
He,12,15,3,0.1414072,1,0
C,3.2,3.6,0.4,0.1367224,1,0
C,3.6,4,0.4,0.1373872,1,0
C,4,4.5,0.5,0.137888,1,0
C,4.5,5,0.5,0.138708,1,0
C,5,6,1,0.1384552,1,0
C,6,8,2,0.1385832,1,0
C,8,10,2,0.1391912,1,0
C,10,12,2,0.13896,1,0
C,12,15,3,0.1403528,1,0
C,15,21,6,0.1410856,1,0
C,21,27,6,0.1420816,1,0
C,27,33,6,0.1548608,1,0
N,3.2,3.6,0.4,0.114972,1,0
N,3.6,4,0.4,0.137508,1,0
N,4,4.5,0.5,0.1378984,1,0
N,4.5,5,0.5,0.1381384,1,0
N,5,6,1,0.1382712,1,0
N,6,8,2,0.1386392,1,0
N,8,10,2,0.1390136,1,0
N,10,12,2,0.1395344,1,0
N,12,15,3,0.1402192,1,0
N,15,21,6,0.1412728,1,0
N,21,27,6,0.1422288,1,0
N,27,33,6,0.1462064,1,0
O,3.2,3.6,0.4,0.0529648,1,0
O,3.6,4,0.4,0.1363328,1,0
O,4,4.5,0.5,0.1379816,1,0
O,4.5,5,0.5,0.1380344,1,0
O,5,6,1,0.1382072,1,0
O,6,8,2,0.1386056,1,0
O,8,10,2,0.1389264,1,0
O,10,12,2,0.1390352,1,0
O,12,15,3,0.1399912,1,0
O,15,21,6,0.1409568,1,0
O,21,27,6,0.1425152,1,0
O,27,33,6,0.1436632,1,0
Ne,3.2,3.6,0.4,0.0000736,1,0
Ne,3.6,4,0.4,0.07382,1,0
Ne,4,4.5,0.5,0.137,1,0
Ne,4.5,5,0.5,0.1375608,1,0
Ne,5,6,1,0.1378424,1,0
Ne,6,8,2,0.138516,1,0
Ne,8,10,2,0.1390376,1,0
Ne,10,12,2,0.1390104,1,0
Ne,12,15,3,0.1396968,1,0
