Species,Lower Energy (MeV),Upper Energy (MeV),Delta E (MeV),Geometry Factor (cm2 sr),Efficiency,b
H,1.8,2.2,0.4,0.68292,1,0
H,2.2,2.7,0.5,0.688284,1,0
H,2.7,3.2,0.5,0.689568,1,0
H,3.2,3.6,0.4,0.689932,1,0
H,3.6,4,0.4,0.69192,1,0
H,4,4.5,0.5,0.691336,1,0
H,4.5,5,0.5,0.693348,1,0
H,5,6,1,0.694152,1,0
H,6,8,2,0.693752,1,0
H,8,10,2,0.563808,1,0
H,10,12,2,0.220268,1,0
H,12,15,3,0.040072,1,0
He3,2.2,2.7,0.5,0.682664,1,0
He3,2.7,3.2,0.5,0.690428,1,0
He3,3.2,3.6,0.4,0.691324,1,0
He3,3.6,4,0.4,0.69206,1,0
He3,4,4.5,0.5,0.6914,1,0
He3,4.5,5,0.5,0.692056,1,0
He3,5,6,1,0.693208,1,0
He3,6,8,2,0.696344,1,0
He3,8,10,2,0.699932,1,0
He3,10,12,2,0.704048,1,0
He3,12,15,3,0.705664,1,0
He4,1.8,2.2,0.4,0.689488,1,0
He4,2.2,2.7,0.5,0.691144,1,0
He4,2.7,3.2,0.5,0.692368,1,0
He4,3.2,3.6,0.4,0.690688,1,0
He4,3.6,4,0.4,0.692364,1,0
He4,4,4.5,0.5,0.694432,1,0
He4,4.5,5,0.5,0.693816,1,0
He4,5,6,1,0.695144,1,0
He4,6,8,2,0.697656,1,0
He4,8,10,2,0.701536,1,0
He4,10,12,2,0.705016,1,0
He4,12,15,3,0.707052,1,0
He,2.2,2.7,0.5,0.691056,1,0
He,2.7,3.2,0.5,0.692344,1,0
He,3.2,3.6,0.4,0.6907,1,0
He,3.6,4,0.4,0.69236,1,0
He,4,4.5,0.5,0.6944,1,0
He,4.5,5,0.5,0.693796,1,0
He,5,6,1,0.695132,1,0
He,6,8,2,0.697648,1,0
He,8,10,2,0.701516,1,0
He,10,12,2,0.705,1,0
He,12,15,3,0.707036,1,0
C,3.2,3.6,0.4,0.683612,1,0
C,3.6,4,0.4,0.686936,1,0
C,4,4.5,0.5,0.68944,1,0
C,4.5,5,0.5,0.69354,1,0
C,5,6,1,0.692276,1,0
C,6,8,2,0.692916,1,0
C,8,10,2,0.695956,1,0
C,10,12,2,0.6948,1,0
C,12,15,3,0.701764,1,0
C,15,21,6,0.705428,1,0
C,21,27,6,0.710408,1,0
C,27,33,6,0.774304,1,0
N,3.2,3.6,0.4,0.57486,1,0
N,3.6,4,0.4,0.68754,1,0
N,4,4.5,0.5,0.689492,1,0
N,4.5,5,0.5,0.690692,1,0
N,5,6,1,0.691356,1,0
N,6,8,2,0.693196,1,0
N,8,10,2,0.695068,1,0
N,10,12,2,0.697672,1,0
N,12,15,3,0.701096,1,0
N,15,21,6,0.706364,1,0
N,21,27,6,0.711144,1,0
N,27,33,6,0.731032,1,0
O,3.2,3.6,0.4,0.264824,1,0
O,3.6,4,0.4,0.681664,1,0
O,4,4.5,0.5,0.689908,1,0
O,4.5,5,0.5,0.690172,1,0
O,5,6,1,0.691036,1,0
O,6,8,2,0.693028,1,0
O,8,10,2,0.694632,1,0
O,10,12,2,0.695176,1,0
O,12,15,3,0.699956,1,0
O,15,21,6,0.704784,1,0
O,21,27,6,0.712576,1,0
O,27,33,6,0.718316,1,0
Ne,3.2,3.6,0.4,0.000368,1,0
Ne,3.6,4,0.4,0.3691,1,0
Ne,4,4.5,0.5,0.685,1,0
Ne,4.5,5,0.5,0.687804,1,0
Ne,5,6,1,0.689212,1,0
Ne,6,8,2,0.69258,1,0
Ne,8,10,2,0.695188,1,0
Ne,10,12,2,0.695052,1,0
Ne,12,15,3,0.698484,1,0
Ne,15,21,6,0.702952,1,0
Ne,21,27,6,0.711896,1,0
Ne,27,33,6,0.718044,1,0
Ne,33,40,7,0.740728,1,0
Na,6,8,2,0.691856,1,0
Na,8,10,2,0.693072,1,0
Na,10,12,2,0.695104,1,0
Na,12,15,3,0.69868,1,0
Na,15,21,6,0.703068,1,0
Na,21,27,6,0.711324,1,0
Na,27,33,6,0.719376,1,0
Na,33,40,7,0.742112,1,0
Mg,3.2,3.6,0.4,0.000112,1,0
Mg,3.6,4,0.4,0.002292,1,0
Mg,4,4.5,0.5,0.53146,1,0
Mg,4.5,5,0.5,0.689188,1,0
Mg,5,6,1,0.689804,1,0
Mg,6,8,2,0.691744,1,0
Mg,8,10,2,0.692936,1,0
Mg,10,12,2,0.697136,1,0
Mg,12,15,3,0.698024,1,0
Mg,15,21,6,0.702412,1,0
Mg,21,27,6,0.711308,1,0
Mg,27,33,6,0.71806,1,0
Mg,33,40,7,0.72572,1,0
Mg,40,52,12,0.811664,1,0
Al,6,8,2,0.690616,1,0
Al,8,10,2,0.692612,1,0
Al,10,12,2,0.694496,1,0
Al,12,15,3,0.6972,1,0
Al,15,21,6,0.702288,1,0
Al,21,27,6,0.710512,1,0
Al,27,33,6,0.717568,1,0
Al,33,40,7,0.726856,1,0
Al,40,52,12,0.810796,1,0
Si,3.2,3.6,0.4,0.000116,1,0
Si,3.6,4,0.4,0.000332,1,0
Si,4,4.5,0.5,0.232508,1,0
Si,4.5,5,0.5,0.677952,1,0
Si,5,6,1,0.689984,1,0
Si,6,8,2,0.690368,1,0
Si,8,10,2,0.692424,1,0
Si,10,12,2,0.69322,1,0
Si,12,15,3,0.696028,1,0
Si,15,21,6,0.702376,1,0
Si,21,27,6,0.709808,1,0
Si,27,33,6,0.718684,1,0
Si,33,40,7,0.728148,1,0
