start_date,end_date,doy
20250101,20250110,1
20250110,20250120,10
20250120,20250130,20
20250130,20250209,30
20250209,20250219,40
20250219,20250301,50
20250301,20250311,60
20250311,20250321,70
20250321,20250331,80
20250331,20250410,90
20250410,20250420,100
20250420,20250430,110
20250430,20250510,120
20250510,20250520,130
20250520,20250530,140
20250530,20250609,150
20250609,20250619,160
20250619,20250629,170
20250629,20250709,180
20250709,20250719,190
20250719,20250729,200
20250729,20250808,210
20250808,20250818,220
20250818,20250828,230
20250828,20250907,240
20250907,20250917,250
20250917,20250927,260
20250927,20251007,270
20251007,20251017,280
20251017,20251027,290
20251027,20251106,300
20251106,20251116,310
20251116,20251126,320
20251126,20251206,330
20251206,20251216,340
20251216,20251226,350
20251226,20260101,360
20260101,20260110,1
20260110,20260120,10
20260120,20260130,20
20260130,20260209,30
20260209,20260219,40
20260219,20260301,50
20260301,20260311,60
20260311,20260321,70
20260321,20260331,80
20260331,20260410,90
20260410,20260420,100
20260420,20260430,110
20260430,20260510,120
20260510,20260520,130
20260520,20260530,140
20260530,20260609,150
20260609,20260619,160
20260619,20260629,170
20260629,20260709,180
20260709,20260719,190
20260719,20260729,200
20260729,20260808,210
20260808,20260818,220
20260818,20260828,230
20260828,20260907,240
20260907,20260917,250
20260917,20260927,260
20260927,20261007,270
20261007,20261017,280
20261017,20261027,290
20261027,20261106,300
20261106,20261116,310
20261116,20261126,320
20261126,20261206,330
20261206,20261216,340
20261216,20261226,350
20261226,20270101,360
20270101,20270110,1
20270110,20270120,10
20270120,20270130,20
20270130,20270209,30
20270209,20270219,40
20270219,20270301,50
20270301,20270311,60
20270311,20270321,70
20270321,20270331,80
20270331,20270410,90
20270410,20270420,100
20270420,20270430,110
20270430,20270510,120
20270510,20270520,130
20270520,20270530,140
20270530,20270609,150
20270609,20270619,160
20270619,20270629,170
20270629,20270709,180
20270709,20270719,190
20270719,20270729,200
20270729,20270808,210
20270808,20270818,220
20270818,20270828,230
20270828,20270907,240
20270907,20270917,250
20270917,20270927,260
20270927,20271007,270
20271007,20271017,280
20271017,20271027,290
20271027,20271106,300
20271106,20271116,310
20271116,20271126,320
20271126,20271206,330
20271206,20271216,340
20271216,20271226,350
20271226,20280101,360
20280101,20280110,1
20280110,20280120,10
20280120,20280130,20
20280130,20280209,30
20280209,20280219,40
20280219,20280229,50
20280229,20280310,60
20280310,20280320,70
20280320,20280330,80
20280330,20280409,90
20280409,20280419,100
20280419,20280429,110
20280429,20280509,120
20280509,20280519,130
20280519,20280529,140
20280529,20280608,150
20280608,20280618,160
20280618,20280628,170
20280628,20280708,180
20280708,20280718,190
20280718,20280728,200
20280728,20280807,210
20280807,20280817,220
20280817,20280827,230
20280827,20280906,240
20280906,20280916,250
20280916,20280926,260
20280926,20281006,270
20281006,20281016,280
20281016,20281026,290
20281026,20281105,300
20281105,20281115,310
20281115,20281125,320
20281125,20281205,330
20281205,20281215,340
20281215,20281225,350
20281225,20290101,360
20290101,20290110,1
20290110,20290120,10
20290120,20290130,20
20290130,20290209,30
20290209,20290219,40
20290219,20290301,50
20290301,20290311,60
20290311,20290321,70
20290321,20290331,80
20290331,20290410,90
20290410,20290420,100
20290420,20290430,110
20290430,20290510,120
20290510,20290520,130
20290520,20290530,140
20290530,20290609,150
20290609,20290619,160
20290619,20290629,170
20290629,20290709,180
20290709,20290719,190
20290719,20290729,200
20290729,20290808,210
20290808,20290818,220
20290818,20290828,230
20290828,20290907,240
20290907,20290917,250
20290917,20290927,260
20290927,20291007,270
20291007,20291017,280
20291017,20291027,290
20291027,20291106,300
20291106,20291116,310
20291116,20291126,320
20291126,20291206,330
20291206,20291216,340
20291216,20291226,350
20291226,20300101,360
20300101,20300110,1
20300110,20300120,10
20300120,20300130,20
20300130,20300209,30
20300209,20300219,40
20300219,20300301,50
20300301,20300311,60
20300311,20300321,70
20300321,20300331,80
20300331,20300410,90
20300410,20300420,100
20300420,20300430,110
20300430,20300510,120
20300510,20300520,130
20300520,20300530,140
20300530,20300609,150
20300609,20300619,160
20300619,20300629,170
20300629,20300709,180
20300709,20300719,190
20300719,20300729,200
20300729,20300808,210
20300808,20300818,220
20300818,20300828,230
20300828,20300907,240
20300907,20300917,250
20300917,20300927,260
20300927,20301007,270
20301007,20301017,280
20301017,20301027,290
20301027,20301106,300
20301106,20301116,310
20301116,20301126,320
20301126,20301206,330
20301206,20301216,340
20301216,20301226,350
20301226,20310101,360
20310101,20310110,1
20310110,20310120,10
20310120,20310130,20
20310130,20310209,30
20310209,20310219,40
20310219,20310301,50
20310301,20310311,60
20310311,20310321,70
20310321,20310331,80
20310331,20310410,90
20310410,20310420,100
20310420,20310430,110
20310430,20310510,120
20310510,20310520,130
20310520,20310530,140
20310530,20310609,150
20310609,20310619,160
20310619,20310629,170
20310629,20310709,180
20310709,20310719,190
20310719,20310729,200
20310729,20310808,210
20310808,20310818,220
20310818,20310828,230
20310828,20310907,240
20310907,20310917,250
20310917,20310927,260
20310927,20311007,270
20311007,20311017,280
20311017,20311027,290
20311027,20311106,300
20311106,20311116,310
20311116,20311126,320
20311126,20311206,330
20311206,20311216,340
20311216,20311226,350
20311226,20320101,360
20320101,20320110,1
20320110,20320120,10
20320120,20320130,20
20320130,20320209,30
20320209,20320219,40
20320219,20320229,50
20320229,20320310,60
20320310,20320320,70
20320320,20320330,80
20320330,20320409,90
20320409,20320419,100
20320419,20320429,110
20320429,20320509,120
20320509,20320519,130
20320519,20320529,140
20320529,20320608,150
20320608,20320618,160
20320618,20320628,170
20320628,20320708,180
20320708,20320718,190
