esa_mode,incident_E-Step,Observed_E-Step,Cntr_E,Cntr_E_unc,GF_Trpl_H,GF_Trpl_H_unc_minus,GF_Trpl_H_unc_plus,Cntr_E_delta_minus,Cntr_E_delta_plus
# [1],[1],[1],[keV],[keV],[cm^2sr keV/keV],[cm^2sr keV/keV],[cm^2sr keV/keV],[keV],[keV]
0,1,1,0.01633,0.00028,4.45E-05,4.03E-05,4.20E-05,0.00543,0.00543
0,2,2,0.03047,0.00043,5.02E-05,4.53E-05,4.72E-05,0.01002,0.01002
0,3,3,0.05576,0.00089,6.16E-05,5.58E-05,5.82E-05,0.01861,0.01861
0,4,4,0.10626,0.0019,7.12E-05,4.51E-05,4.89E-05,0.03331,0.03331
0,5,5,0.20004,0.0034,8.89E-05,5.85E-05,6.31E-05,0.06498,0.06498
0,6,6,0.40496,0.0073,1.12E-04,6.58E-05,7.23E-05,0.13164,0.13164
0,7,7,0.78729,0.022,1.43E-04,8.25E-05,9.09E-05,0.26235,0.26235
1,1,1,0.01719,0.00022,1.05E-04,8.82E-05,9.26E-05,0.00881,0.00881
1,2,2,0.03236,0.00036,1.22E-04,1.02E-04,1.07E-04,0.01604,0.01604
1,3,3,0.05948,0.00077,1.44E-04,1.21E-04,1.27E-04,0.02850,0.02850
1,4,4,0.11441,0.0013,1.73E-04,1.17E-04,1.26E-04,0.05313,0.05313
1,5,5,0.2137,0.003,2.15E-04,1.37E-04,1.49E-04,0.10560,0.10560
1,6,6,0.43736,0.0053,2.82E-04,1.65E-04,1.81E-04,0.21967,0.21967
1,7,7,0.83888,0.0117,3.61E-04,2.08E-04,2.29E-04,0.41360,0.41360
