pivot_angle,esa_step,intensity_threshold_fraction,angular_width_deg,outlier_percentile
75,1,0.015,80.0,99.999
75,2,0.015,70.0,99.999
75,3,0.015,70.0,99.999
75,4,0.008,70.0,99.999
75,5,0.02,25.0,96.999
75,6,1.0,35.0,99.999
75,7,1.0,35.0,99.999
90,1,0.01,80.0,99.999
90,2,0.01,70.0,99.999
90,3,0.005,65.0,99.999
90,4,0.005,50.0,99.999
90,5,0.1,45.0,99.999
90,6,1.0,35.0,99.999
90,7,1.0,35.0,99.999
105,1,0.01,80.0,99.999
105,2,0.005,60.0,99.999
105,3,0.001,60.0,99.999
105,4,0.005,40.0,99.999
105,5,0.15,35.0,99.999
105,6,1.0,35.0,99.999
105,7,1.0,35.0,99.999
