esa_mode,incident_E-Step,Observed_E-Step,Cntr_E,Cntr_E_unc,GF_Trpl_O,GF_Trpl_O_unc_minus,GF_Trpl_O_unc_plus,Cntr_E_delta_minus,Cntr_E_delta_plus
# [1],[1],[1],[keV],[keV],[cm^2sr keV/keV],[cm^2sr keV/keV],[cm^2sr keV/keV],[keV],[keV]
0,1,1,0.01919,0.001372344105,1.98E-05,1.74E-05,1.81E-05,0.00582,0.00582
0,2,2,0.03675,0.002537963082,3.18E-05,2.39E-05,2.53E-05,0.01110,0.01110
0,3,3,0.07121,0.006591339559,5.34E-05,4.05E-05,4.29E-05,0.02178,0.02178
0,4,4,0.14141,0.01743990907,8.64E-05,6.14E-05,6.56E-05,0.04147,0.04147
0,5,5,0.274,0.03583900763,1.32E-04,9.07E-05,9.72E-05,0.08561,0.08561
0,6,6,0.58503,0.09806681395,2.46E-04,1.53E-04,1.67E-04,0.18067,0.18067
0,7,7,1.13506,0.2381076888,3.81E-04,2.23E-04,2.45E-04,0.36193,0.36193
1,1,1,0.02043303552,0.001575924599,5.02E-05,4.41E-05,4.61E-05,0.00945,0.00945
1,2,2,0.03972,0.002953020557,8.13E-05,6.09E-05,6.47E-05,0.01784,0.01784
1,3,3,0.07648,0.007476494389,1.33E-04,1.01E-04,1.07E-04,0.03351,0.03351
1,4,4,0.15353,0.01487953071,2.38E-04,1.69E-04,1.80E-04,0.06661,0.06661
1,5,5,0.29846,0.04148950349,3.87E-04,2.67E-04,2.86E-04,0.13995,0.13995
1,6,6,0.61524,0.08357629594,6.61E-04,4.11E-04,4.47E-04,0.30224,0.30224
1,7,7,1.24282,0.2120806857,1.02E-03,6.10E-04,6.67E-04,0.56948,0.56948
