Compressed, Min, Mean, Max
0, 0, 0, 0
1, 1, 1, 1
2, 2, 2, 2
3, 3, 3, 3
4, 4, 4, 4
5, 5, 5, 5
6, 6, 6, 6
7, 7, 7, 7
8, 8, 8, 8
9, 9, 9, 9
10, 10, 10, 10
11, 11, 11, 11
12, 12, 12, 12
13, 13, 13, 13
14, 14, 14, 14
15, 15, 15, 15
16, 16, 16, 16
17, 17, 17, 17
18, 18, 18, 18
19, 19, 19, 19
20, 20, 20, 20
21, 21, 21, 21
22, 22, 22, 22
23, 23, 23, 23
24, 24, 24, 24
25, 25, 25, 25
26, 26, 26, 26
27, 27, 27, 27
28, 28, 28, 28
29, 29, 29, 29
30, 30, 30, 30
31, 31, 31, 31
32, 32, 32, 32
33, 33, 33, 33
34, 34, 34, 34
35, 35, 35, 35
36, 36, 36, 36
37, 37, 37, 37
38, 38, 38, 38
39, 39, 39, 39
40, 40, 40, 40
41, 41, 41, 41
42, 42, 42, 42
43, 43, 43, 43
44, 44, 44, 44
45, 45, 45, 45
46, 46, 46, 46
47, 47, 47, 47
48, 48, 48, 48
49, 49, 49, 49
50, 50, 50, 50
51, 51, 51, 51
52, 52, 52, 52
53, 53, 54, 54
54, 55, 55, 55
55, 56, 56, 56
56, 57, 57, 57
57, 58, 58, 58
58, 59, 60, 60
59, 61, 61, 61
60, 62, 62, 62
61, 63, 64, 64
62, 65, 65, 65
63, 66, 66, 66
64, 67, 68, 68
65, 69, 69, 69
66, 70, 70, 71
67, 72, 72, 72
68, 73, 74, 74
69, 75, 76, 76
70, 77, 77, 77
71, 78, 78, 79
72, 80, 80, 81
73, 82, 82, 82
74, 83, 84, 84
75, 85, 86, 86
76, 87, 88, 88
77, 89, 90, 90
78, 91, 92, 92
79, 93, 94, 94
80, 95, 96, 96
81, 97, 98, 98
82, 99, 100, 100
83, 101, 102, 102
84, 103, 104, 104
85, 105, 106, 107
86, 108, 108, 109
87, 110, 110, 111
88, 112, 113, 114
89, 115, 116, 116
90, 117, 118, 119
91, 120, 120, 121
92, 122, 123, 124
93, 125, 126, 127
94, 128, 129, 130
95, 131, 132, 132
96, 133, 134, 135
97, 136, 137, 138
98, 139, 140, 141
99, 142, 143, 144
100, 145, 146, 147
101, 148, 150, 151
102, 152, 153, 154
103, 155, 156, 157
