table_index,e_step,esa_v
0,0,0.56
0,1,2.1
0,2,7.85
0,3,29.39
0,4,110.03
0,5,411.93
0,6,797.03
0,7,212.89
0,8,56.87
0,9,15.19
0,10,4.06
0,11,1.08
0,12,0.56
0,13,2.1
0,14,7.85
0,15,29.39
0,16,110.03
0,17,411.93
0,18,797.03
0,19,212.89
0,20,56.87
0,21,15.19
0,22,4.06
0,23,1.08
0,24,0.56
0,25,2.1
0,26,7.85
0,27,29.39
0,28,110.03
0,29,411.93
0,30,797.03
0,31,212.89
0,32,56.87
0,33,15.19
0,34,4.06
0,35,1.08
0,36,0.56
0,37,2.1
0,38,7.85
0,39,29.39
0,40,110.03
0,41,411.93
0,42,797.03
0,43,212.89
0,44,56.87
0,45,15.19
0,46,4.06
0,47,1.08
0,48,0.56
0,49,2.1
0,50,7.85
0,51,29.39
0,52,110.03
0,53,411.93
0,54,797.03
0,55,212.89
0,56,56.87
0,57,15.19
0,58,4.06
0,59,1.08
0,60,0.56
0,61,2.1
0,62,7.85
0,63,29.39
0,64,110.03
0,65,411.93
0,66,797.03
0,67,212.89
0,68,56.87
0,69,15.19
0,70,4.06
0,71,1.08
0,72,0.56
0,73,2.1
0,74,7.85
0,75,29.39
0,76,110.03
0,77,411.93
0,78,797.03
0,79,212.89
0,80,56.87
0,81,15.19
0,82,4.06
0,83,1.08
0,84,0.56
0,85,2.1
0,86,7.85
0,87,29.39
0,88,110.03
0,89,411.93
0,90,797.03
0,91,212.89
0,92,56.87
0,93,15.19
0,94,4.06
0,95,1.08
0,96,0.56
0,97,2.1
0,98,7.85
0,99,29.39
0,100,110.03
0,101,411.93
0,102,797.03
0,103,212.89
0,104,56.87
0,105,15.19
0,106,4.06
0,107,1.08
0,108,0.56
0,109,2.1
0,110,7.85
0,111,29.39
0,112,110.03
0,113,411.93
0,114,797.03
0,115,212.89
0,116,56.87
0,117,15.19
0,118,4.06
0,119,1.08
0,120,0.56
0,121,2.1
0,122,7.85
0,123,29.39
0,124,110.03
0,125,411.93
0,126,797.03
0,127,212.89
0,128,56.87
0,129,15.19
0,130,4.06
0,131,1.08
0,132,0.56
0,133,2.1
0,134,7.85
0,135,29.39
0,136,110.03
0,137,411.93
0,138,797.03
0,139,212.89
0,140,56.87
0,141,15.19
0,142,4.06
0,143,1.08
0,144,0.56
0,145,2.1
0,146,7.85
0,147,29.39
0,148,110.03
0,149,411.93
0,150,797.03
0,151,212.89
0,152,56.87
0,153,15.19
0,154,4.06
0,155,1.08
0,156,0.56
0,157,2.1
0,158,7.85
0,159,29.39
0,160,110.03
0,161,411.93
0,162,797.03
0,163,212.89
0,164,56.87
0,165,15.19
0,166,4.06
0,167,1.08
0,168,0.56
0,169,2.1
0,170,7.85
0,171,29.39
0,172,110.03
0,173,411.93
0,174,797.03
0,175,212.89
0,176,56.87
0,177,15.19
0,178,4.06
0,179,1.08
0,180,0.78
0,181,2.92
0,182,10.92
0,183,40.88
0,184,153.05
0,185,572.99
0,186,1108.66
0,187,296.14
0,188,79.1
0,189,21.13
0,190,5.64
0,191,1.51
0,192,0.78
0,193,2.92
0,194,10.92
0,195,40.88
0,196,153.05
0,197,572.99
0,198,1108.66
0,199,296.14
0,200,79.1
0,201,21.13
0,202,5.64
0,203,1.51
0,204,0.78
0,205,2.92
0,206,10.92
0,207,40.88
0,208,153.05
0,209,572.99
0,210,1108.66
0,211,296.14
0,212,79.1
0,213,21.13
0,214,5.64
0,215,1.51
0,216,0.78
0,217,2.92
