fm,energy,systematic_uncertainty
90,3.71,0.330108892
90,5.66,0.297241
90,8.45,0.258871
90,12.7,0.232249
90,19.19,0.26833
90,28.64,0.297576
90,42.74,0.330108892
90,63.78,0.330108892
90,95.18,0.330108892
90,142.04,0.330108892
90,211.97,0.330108892
90,286.21,0.330108892
45,3.71,0.329846444
45,5.66,0.295639
45,8.45,0.258938
45,12.7,0.232017
45,19.19,0.267892
45,28.64,0.2972
45,42.74,0.329846444
45,63.78,0.329846444
45,95.18,0.329846444
45,142.04,0.329846444
45,211.97,0.329846444
45,286.21,0.329846444
