Energy,phi_degrees,theta_degrees,phi_motor_degrees,theta_motor_degrees,phi_fwhm,theta_fwhm
5.000000000000000000e+00,5.232742422939552718e+00,4.143049922976437927e+01,0.000000000000000000e+00,-4.400000000000000000e+01,1.179531309480161561e+01,1.405559531680076013e+01
5.000000000000000000e+00,4.145132567474236751e+00,3.417314466738909573e+01,0.000000000000000000e+00,-3.600000000000000000e+01,9.349723450626173715e+00,1.272956312187905503e+01
5.000000000000000000e+00,3.167777918038871210e+00,2.663115874609317757e+01,0.000000000000000000e+00,-2.800000000000000000e+01,8.089667988945521415e+00,1.171569157585497400e+01
5.000000000000000000e+00,2.811850263855112608e+00,1.991222098030269905e+01,0.000000000000000000e+00,-2.000000000000000000e+01,7.999690379902944848e+00,1.185816971255519547e+01
5.000000000000000000e+00,2.422358526417597968e+00,1.216634547736863325e+01,0.000000000000000000e+00,-1.200000000000000000e+01,6.919716851889584852e+00,1.123591660185675956e+01
5.000000000000000000e+00,2.650487657805091768e+00,9.420579127590551494e+00,0.000000000000000000e+00,-9.000000000000000000e+00,6.779680485841596216e+00,1.045382315087819158e+01
5.000000000000000000e+00,2.464040585889037516e+00,6.148553457041925796e+00,0.000000000000000000e+00,-6.000000000000000000e+00,6.955441640591896402e+00,1.254267608981007420e+01
5.000000000000000000e+00,2.638142019595591137e+00,-1.173201547684377122e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.420425189792682730e+00,1.200535729624701808e+01
5.000000000000000000e+00,2.856995995136629496e+00,-5.793652483655899132e+00,0.000000000000000000e+00,6.000000000000000000e+00,7.511295503098382120e+00,1.249283336544081102e+01
5.000000000000000000e+00,2.307337099284759940e+00,-8.484179823576672774e+00,0.000000000000000000e+00,9.000000000000000000e+00,6.820591787170301679e+00,1.139976903731770186e+01
5.000000000000000000e+00,2.432252767983521302e+00,-1.163109400321207687e+01,0.000000000000000000e+00,1.200000000000000000e+01,7.344564183325637430e+00,1.046286009007272177e+01
5.000000000000000000e+00,2.990945562263204405e+00,-1.918390351287093409e+01,0.000000000000000000e+00,2.000000000000000000e+01,8.217995711181428575e+00,1.232536861149979934e+01
