Energy,phi_degrees,theta_degrees,phi_motor_degrees,theta_motor_degrees,phi_fwhm,theta_fwhm
5.000000000000000000e+00,-5.818807520461386495e+00,-4.306099238948375074e+01,0.000000000000000000e+00,-4.400000000000000000e+01,1.054773803373467267e+01,1.387030761850400040e+01
5.000000000000000000e+00,-5.137849586556896497e+00,-3.522725333276388682e+01,0.000000000000000000e+00,-3.600000000000000000e+01,9.631061796309191791e+00,1.370933905303768086e+01
5.000000000000000000e+00,-4.834127005110407715e+00,-2.812071525243733205e+01,0.000000000000000000e+00,-2.800000000000000000e+01,8.803356713143891454e+00,1.211546020481940111e+01
5.000000000000000000e+00,-4.438563256416920844e+00,-2.056594756768048882e+01,0.000000000000000000e+00,-2.000000000000000000e+01,7.850633201366488123e+00,1.185077012799882645e+01
5.000000000000000000e+00,-4.151735874677056515e+00,-1.296363753096668958e+01,0.000000000000000000e+00,-1.200000000000000000e+01,7.424357070052178820e+00,1.255511678304025303e+01
5.000000000000000000e+00,-4.036626596966817360e+00,-1.003800014702074961e+01,0.000000000000000000e+00,-9.000000000000000000e+00,7.217760108359198234e+00,1.146291857467257458e+01
5.000000000000000000e+00,-3.991731116557125425e+00,-7.223029481970400845e+00,0.000000000000000000e+00,-6.000000000000000000e+00,7.047578642040054575e+00,1.221591832030659219e+01
5.000000000000000000e+00,-3.997895068521839512e+00,-1.478006229779226688e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.258514911844293316e+00,1.169575653075894373e+01
5.000000000000000000e+00,-4.336179339351211581e+00,5.065757467703858374e+00,0.000000000000000000e+00,6.000000000000000000e+00,7.809966558761824551e+00,1.303264212685692058e+01
5.000000000000000000e+00,-3.979592278026097496e+00,7.581821042509964137e+00,0.000000000000000000e+00,9.000000000000000000e+00,6.970297178046513054e+00,1.213864001324880348e+01
5.000000000000000000e+00,-3.960724657520584557e+00,1.059592588114811917e+01,0.000000000000000000e+00,1.200000000000000000e+01,6.912869577059618464e+00,1.143283699039673529e+01
5.000000000000000000e+00,-4.302035840528388277e+00,1.848377158184054281e+01,0.000000000000000000e+00,2.000000000000000000e+01,7.511870648083655233e+00,1.152340912969113340e+01
