time_et,time_utc,azimuth,elevation,range
843307269,2026-09-22T00:00:00,261.9512,-8.1724,1520201.7644
843308269,2026-09-22T00:16:40,259.5266,-11.5809,1520591.7277
843309269,2026-09-22T00:33:20,257.0338,-14.9615,1520974.2525
843310269,2026-09-22T00:50:00,254.4529,-18.3070,1521347.4029
843311269,2026-09-22T01:06:40,251.7623,-21.6091,1521709.2938
843312269,2026-09-22T01:23:20,248.9381,-24.8584,1522058.1006
843313269,2026-09-22T01:40:00,245.9541,-28.0440,1522392.0689
843314269,2026-09-22T01:56:40,242.7812,-31.1533,1522709.5235
843315269,2026-09-22T02:13:20,239.3872,-34.1714,1523008.8769
843316269,2026-09-22T02:30:00,235.7371,-37.0809,1523288.6377
843317269,2026-09-22T02:46:40,231.7933,-39.8610,1523547.4182
843318269,2026-09-22T03:03:20,227.5171,-42.4876,1523783.9415
843319269,2026-09-22T03:20:00,222.8710,-44.9322,1523997.0481
843320269,2026-09-22T03:36:40,217.8225,-47.1627,1524185.7017
843321269,2026-09-22T03:53:20,212.3500,-49.1426,1524348.9945
843322269,2026-09-22T04:10:00,206.4499,-50.8332,1524486.1520
843323269,2026-09-22T04:26:40,200.1456,-52.1948,1524596.5367
843324269,2026-09-22T04:43:20,193.4938,-53.1902,1524679.6516
843325269,2026-09-22T05:00:00,186.5873,-53.7889,1524735.1425
843326269,2026-09-22T05:16:40,179.5497,-53.9708,1524762.7999
843327269,2026-09-22T05:33:20,172.5223,-53.7295,1524762.5601
843328269,2026-09-22T05:50:00,165.6448,-53.0735,1524734.5053
843329269,2026-09-22T06:06:40,159.0372,-52.0244,1524678.8636
843330269,2026-09-22T06:23:20,152.7874,-50.6140,1524596.0073
843331269,2026-09-22T06:40:00,146.9471,-48.8800,1524486.4517
843332269,2026-09-22T06:56:40,141.5354,-46.8622,1524350.8517
843333269,2026-09-22T07:13:20,136.5458,-44.5991,1524189.9992
843334269,2026-09-22T07:30:00,131.9547,-42.1264,1524004.8184
843335269,2026-09-22T07:46:40,127.7286,-39.4760,1523796.3616
843336269,2026-09-22T08:03:20,123.8297,-36.6755,1523565.8038
843337269,2026-09-22T08:20:00,120.2193,-33.7487,1523314.4363
843338269,2026-09-22T08:36:40,116.8601,-30.7158,1523043.6604
843339269,2026-09-22T08:53:20,113.7175,-27.5938,1522754.9803
843340269,2026-09-22T09:10:00,110.7599,-24.3972,1522449.9950
843341269,2026-09-22T09:26:40,107.9584,-21.1385,1522130.3905
843342269,2026-09-22T09:43:20,105.2873,-17.8282,1521797.9305
843343269,2026-09-22T10:00:00,102.7231,-14.4755,1521454.4480
843344269,2026-09-22T10:16:40,100.2443,-11.0886,1521101.8353
843345269,2026-09-22T10:33:20,97.8313,-7.6746,1520742.0340
843346269,2026-09-22T10:50:00,95.4657,-4.2401,1520377.0254
843347269,2026-09-22T11:06:40,93.1299,-0.7912,1520008.8196
843348269,2026-09-22T11:23:20,90.8068,2.6662,1519639.4453
843349269,2026-09-22T11:40:00,88.4795,6.1265,1519270.9389
843350269,2026-09-22T11:56:40,86.1309,9.5839,1518905.3338
843351269,2026-09-22T12:13:20,83.7431,13.0325,1518544.6495
843352269,2026-09-22T12:30:00,81.2971,16.4660,1518190.8811
843353269,2026-09-22T12:46:40,78.7726,19.8776,1517845.9884
843354269,2026-09-22T13:03:20,76.1469,23.2597,1517511.8856
843355269,2026-09-22T13:20:00,73.3950,26.6037,1517190.4310
843356269,2026-09-22T13:36:40,70.4884,29.8994,1516883.4168
843357269,2026-09-22T13:53:20,67.3948,33.1352,1516592.5598
843358269,2026-09-22T14:10:00,64.0774,36.2971,1516319.4918
843359269,2026-09-22T14:26:40,60.4944,39.3683,1516065.7507
843360269,2026-09-22T14:43:20,56.5986,42.3286,1515832.7725
843361269,2026-09-22T15:00:00,52.3379,45.1534,1515621.8832
843362269,2026-09-22T15:16:40,47.6573,47.8131,1515434.2917
843363269,2026-09-22T15:33:20,42.5022,50.2727,1515271.0829
843364269,2026-09-22T15:50:00,36.8251,52.4906,1515133.2123
843365269,2026-09-22T16:06:40,30.5963,54.4201,1515021.5001
843366269,2026-09-22T16:23:20,23.8180,56.0106,1514936.6272
843367269,2026-09-22T16:40:00,16.5396,57.2117,1514879.1314
843368269,2026-09-22T16:56:40,8.8685,57.9785,1514849.4041
843369269,2026-09-22T17:13:20,0.9689,58.2793,1514847.6884
843370269,2026-09-22T17:30:00,353.0423,58.1005,1514874.0780
843371269,2026-09-22T17:46:40,345.2953,57.4503,1514928.5161
843372269,2026-09-22T18:03:20,337.9041,56.3563,1515010.7962
843373269,2026-09-22T18:20:00,330.9912,54.8607,1515120.5629
843374269,2026-09-22T18:36:40,324.6201,53.0131,1515257.3142
843375269,2026-09-22T18:53:20,318.8037,50.8645,1515420.4041
843376269,2026-09-22T19:10:00,313.5189,48.4630,1515609.0460
843377269,2026-09-22T19:26:40,308.7215,45.8513,1515822.3172
843378269,2026-09-22T19:43:20,304.3580,43.0663,1516059.1640
843379269,2026-09-22T20:00:00,300.3730,40.1390,1516318.4075
